,Life Expectancy,Cigarette consumption,Alcohol consumption,Incidence of tuberculosis per 100000 per year,GDP per Capita (Current US$),Income Gini Coefficient,Current health expenditure per capita (current US$),Total Population,"Population Density, Number of People/km2","Ambient Air Pollution, Concentration of Fine Particulate Matter PM2.5 (Ug/M3)",Ambient and Household Air Pollution Attributable Death Rate (per 100 000 Population),People using safely managed sanitation services (% of population),"People using safely managed drinking water services, urban (% of urban population)",EPI score,cardiovascular-disease-death-rates,Diabetes prevalence (% of population ages 20 to 79),Acute lower respiratory infections,asthma-prevalence,Democracy Index,"Human Development Index, 2019",Corruption Perceptions Index 2021,UHC service coverage index
33,64.525,4.9,1.15,35.0,1494.687693,0.3614,72.3238,888456.0,477.41,20.55,0.36,53.94,77.63199999999999,42.5,268.9540289,11.7,12.1,4.2077693,3.2,0.554,20.0,44.0
34,64.804,14.3,9.002,379.0,2213.880863,0.259,48.55877,5657017.0,16.57,46.64,0.34,87.97,58.63,40.1,355.6284644,5.5,5.7,3.792059556,2.79,0.574,21.0,40.0
35,59.057,25.9,6.92,280.0,8462.28633,0.3778,254.8911,1449891.0,51.69,53.24,0.74,76.37199999999999,82.664,44.8,261.1816068,5.5,12.9,3.095944068,1.92,0.592,17.0,43.0
36,70.023,31.8,5.33,79.0,9374.80457,0.3614,325.88516,790329.0,4.01,22.38,0.91,53.94,79.888,38.5,447.5716745,11.7,3.0,6.423492678,6.25,0.682,39.0,74.0
37,64.315,6.2,3.02,168.0,1814.674048,0.35960000000000003,56.9944,11541683.0,418.78,15.02,10.12,68.868,95.356,26.1,449.1137662,8.9,14.9,7.244967621,3.48,0.51,20.0,47.0
38,68.611,12.9,2.32,425.0,9921.881925999998,0.278,172.30574,121388.0,149.86,10.64,102.8,26.66,21.11,49.0,554.5488101,22.1,8.2,4.9015358,6.65,0.63,51.8,51.0
39,79.208,22.8,2.78,37.0,8994.641352,0.293,854.37061,543620.0,1812.07,7.8,0.24,68.592,90.09200000000001,37.4,205.0972239,9.2,0.6,2.53403107,6.018,0.74,40.0,69.0
40,65.129,41.8,0.0,87.0,1723.013866,0.394,57.88485,4775110.0,4.63,47.42,0.28,50.778,76.902,28.1,223.9858195,2.1,12.0,4.816185687,4.03,0.546,28.0,40.0
41,61.387,5.4,2.69,368.0,500.4448085,0.41200000000000003,39.46094,32163045.0,40.9,21.3,0.55,38.544000000000004,65.478,31.7,350.7733525,3.3,9.1,4.393819378,3.51,0.456,26.0,47.0
42,64.045,5.6,3.15,460.0,4729.270937,0.31060000000000004,427.25623,2587344.0,3.14,25.36,0.72,67.426,85.40599999999999,50.9,316.0695159,6.7,6.5,2.16871585,6.52,0.646,49.0,62.0
43,64.725,14.5,2.12,441.0,2916.357349,0.30080000000000007,65.08072,9119005.0,20.14,12.29,1.34,91.18599999999999,86.02,24.8,373.2943162,16.7,7.4,4.685459203,6.1,0.555,31.0,33.0
44,76.343,26.8,9.59,2.2,9570.995457,0.512,502.1817,184401.0,302.3,22.4,0.65,45.306,53.720000000000006,49.4,221.4753542,11.7,1.2,7.069841957,6.65,0.759,56.0,72.0
45,77.23659,4.2,8.84,11.0,13306.7256,0.321,839.77332,99202.0,215.66,20.18,1.46,45.306,53.720000000000006,55.6,249.9383467,8.5,0.9,2.612633522,6.65,0.796,70.0,70.0
46,73.628,14.8,6.52,18.0,15243.12287,0.39,1167.93311,1403374.0,273.56,24.11,0.93,76.372,72.56,47.8,227.2979983,12.7,1.9,4.8826203,7.16,0.796,41.0,73.0
47,83.7439,18.1,2.0,46.0,72794.00302,0.2742,2632.71387,5453566.0,7691.91,19.08,0.73,100.0,100.0,50.9,93.68209649,11.6,0.2,4.9732426278,6.23,0.938,85.0,86.0
48,78.686,19.9,6.82,15.0,6494.38571,0.308,810.760792,2811666.0,102.62,18.2,10.71,47.69,77.576,47.1,314.0350434,10.2,0.8,3.021242787,6.11,0.795,35.0,62.0
